name,business,industry,email,instagram,linkedin,twitter,phone,website,source,status,city,state,notes,tags,cold_dm,email_subject,cold_email
,"Five Star Roofing and Construction, Inc.",Roofing,,,,,(844) 647-1396,https://fivestarroofingconstruction.com/,google_maps,new,Tampa,FL,368 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Five Star Roofing and Construction — saw you on Google for roof replacement in Tampa (368+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Five Star Roofing and Construction — first price wins the roof job in Tampa,"Subject: Five Star Roofing and Construction — first price wins the roof job in Tampa

Hi Five Star Roofing and Construction team,

Found you on Google Maps for residential roof replacement in Tampa, FL (368 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Five Star Roofing and Construction, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Tampa (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://fivestarroofingconstruction.com/"
,Downunder Roofing,Roofing,,,,,(816) 547-0713,https://www.downunderroofing.com/,google_maps,new,Kansas City,MO,111 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Downunder Roofing — saw you on Google for roof replacement in Kansas City (111+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Downunder Roofing — first price wins the roof job in Kansas City,"Subject: Downunder Roofing — first price wins the roof job in Kansas City

Hi Downunder Roofing team,

Found you on Google Maps for residential roof replacement in Kansas City, MO (111 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Downunder Roofing, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Kansas City (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://www.downunderroofing.com/"
,Highland Roofing,Roofing,,,,,(502) 968-2009,https://highlandroofing.com/,google_maps,new,Louisville,KY,95 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Highland Roofing — saw you on Google for roof replacement in Louisville (95+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Highland Roofing — first price wins the roof job in Louisville,"Subject: Highland Roofing — first price wins the roof job in Louisville

Hi Highland Roofing team,

Found you on Google Maps for residential roof replacement in Louisville, KY (95 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Highland Roofing, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Louisville (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://highlandroofing.com/"
,Hi-5 Roofing,Roofing,,,,,(614) 313-7721,https://hi-5roofingohio.com/,google_maps,new,Columbus,OH,76 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Hi-5 Roofing — saw you on Google for roof replacement in Columbus (76+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Hi-5 Roofing — first price wins the roof job in Columbus,"Subject: Hi-5 Roofing — first price wins the roof job in Columbus

Hi Hi-5 Roofing team,

Found you on Google Maps for residential roof replacement in Columbus, OH (76 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Hi-5 Roofing, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Columbus (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://hi-5roofingohio.com/"
,Rogue Carolina Roofing LLC,Roofing,,,,,(980) 403-4545,http://roguecarolinaroofing.com/,google_maps,new,Charlotte,NC,68 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Rogue Carolina Roofing — saw you on Google for roof replacement in Charlotte (68+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Rogue Carolina Roofing — first price wins the roof job in Charlotte,"Subject: Rogue Carolina Roofing — first price wins the roof job in Charlotte

Hi Rogue Carolina Roofing team,

Found you on Google Maps for residential roof replacement in Charlotte, NC (68 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Rogue Carolina Roofing, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Charlotte (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: http://roguecarolinaroofing.com/"
,"Rocklane Co. General Contractors, LLC",Roofing,,,,,(317) 898-8696,https://www.rocklaneco.com/,google_maps,new,Indianapolis,IN,50 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Rocklane Co. General Contractors — saw you on Google for roof replacement in Indianapolis (50+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Rocklane Co. General Contractors — first price wins the roof job in Indianapolis,"Subject: Rocklane Co. General Contractors — first price wins the roof job in Indianapolis

Hi Rocklane Co. General Contractors team,

Found you on Google Maps for residential roof replacement in Indianapolis, IN (50 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Rocklane Co. General Contractors, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Indianapolis (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://www.rocklaneco.com/"
,Strong Quality Roofing,Roofing,,,,,(615) 491-6442,https://strongqualityroofingllc.com/,google_maps,new,La Vergne,TN,47 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Strong Quality Roofing — saw you on Google for roof replacement in La Vergne (47+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Strong Quality Roofing — first price wins the roof job in La Vergne,"Subject: Strong Quality Roofing — first price wins the roof job in La Vergne

Hi Strong Quality Roofing team,

Found you on Google Maps for residential roof replacement in La Vergne, TN (47 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Strong Quality Roofing, reply YES and I'll send a 10-min Loom configured around residential re-roofs in La Vergne (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://strongqualityroofingllc.com/"
,Garcia & Sons Roofing Company,Roofing,,,,,(380) 300-5950,https://garciasonsleakdetection.com/,google_maps,new,Columbus,OH,45 Google reviews · rank 4,"roofer,icp,estimate-speed","Hey Garcia & Sons Roofing Company — saw you on Google for roof replacement in Columbus (45+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Garcia & Sons Roofing Company — first price wins the roof job in Columbus,"Subject: Garcia & Sons Roofing Company — first price wins the roof job in Columbus

Hi Garcia & Sons Roofing Company team,

Found you on Google Maps for residential roof replacement in Columbus, OH (45 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Garcia & Sons Roofing Company, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Columbus (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://garciasonsleakdetection.com/"
,Kaiser Siding and Roofing LLC,Roofing,,,,,(704) 612-2947,https://kaiserroof.com/charlotte-nc/?utm_source=Google+Business+Profile&utm_medium=Charlotte&utm_campaign=GBP,google_maps,new,Charlotte,NC,329 Google reviews · rank 5,"roofer,icp,estimate-speed","Hey Kaiser Siding and Roofing — saw you on Google for roof replacement in Charlotte (329+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",Kaiser Siding and Roofing — first price wins the roof job in Charlotte,"Subject: Kaiser Siding and Roofing — first price wins the roof job in Charlotte

Hi Kaiser Siding and Roofing team,

Found you on Google Maps for residential roof replacement in Charlotte, NC (329 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for Kaiser Siding and Roofing, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Charlotte (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://kaiserroof.com/charlotte-nc/?utm_source=Google+Business+Profile&utm_medium=Charlotte&utm_campaign=GBP"
,K&D Roofing,Roofing,,,,,(919) 977-4074,https://kanddroofingnc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,google_maps,new,Raleigh,NC,309 Google reviews · rank 5,"roofer,icp,estimate-speed","Hey K&D Roofing — saw you on Google for roof replacement in Raleigh (309+ reviews, looks like a real shop).

When homeowner calls 3–4 roofers after hail/leak, first written price wins ~70%. If owner/sales still drives out, climbs, quotes 48 hrs later — you lose $12–15k jobs to whoever replies first.

Offer: I build you an AI estimator (photos → price while you're still on the ladder). DFY. You keep doing roofs.

De-risk: $500 setup, then $50/estimate OR 5–10% of jobs closed through it. If it doesn't replace your estimating bottleneck in 30 days and you used it, refund the setup.

Worth a 10-min look this week?",K&D Roofing — first price wins the roof job in Raleigh,"Subject: K&D Roofing — first price wins the roof job in Raleigh

Hi K&D Roofing team,

Found you on Google Maps for residential roof replacement in Raleigh, NC (309 reviews — solid local proof).

Not pitching ""AI"" or another CRM. Pitching closed jobs.

Problem: storm/leak homeowner shops 3–4 roofers. First written number usually wins. Owner or one sales guy still bottle-necking estimates = slow quotes = lost $12–15k tickets.

Offer (AI Estimator):
• I build + customize a quote tool for your pricing / photos
• Train you in ~30 minutes — done for you
• Goal: price in front of the lead while you're still on site

Pricing (performance, zero case-study needed):
• $500 setup (covers build)
• Then $50 per estimate sent OR 5–10% of jobs closed through the tool
• Guarantee: use it 30 days; if it doesn't replace your estimating bottleneck → setup refunded

You only pay real money when estimates go out / jobs close. I do the build. You keep roofing.

If that math is interesting for K&D Roofing, reply YES and I'll send a 10-min Loom configured around residential re-roofs in Raleigh (or grab 10 min here: calendly.com/uptisement/30min).

— Adil
P.S. Site I saw: https://kanddroofingnc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp"
